Código comarca,Comarca,2022.0,2021.0,2020.0,2019.0,2018.0,2017.0,2016.0,2015.0,2014.0,2013.0,2012.0,2011.0,2010.0,2009.0,2008.0,2007.0,2006.0,2005.0,2004.0
48033,Ereño,13.03,13.03,13.03,13.03,13.03,13.03,13.03,13.03,13.03,12.54,12.68,12.65,12.65,12.65,12.65,12.65,12.65,12.65,41.75
48034,Ermua,5.22,5.22,5.2,5.2,5.2,26.39,26.39,0.0,0.0,0.0,33.52,36.51,36.85,36.85,36.85,37.1,36.92,37.1,37.1
20067,Errenteria,30.03,30.03,30.06,30.06,30.06,30.06,30.06,28.52,28.52,28.43,50.11,50.11,50.11,50.42,50.42,53.19,53.03,53.03,23.76
20066,Errezil,10.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,11.9,11.9,11.9,11.9,11.9,13.16,13.16,13.16
01046,Erriberagoitia/Ribera Alta,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.4,12.24,12.24,12.24,12.24,12.24,12.4,12.4,12.4,12.4
48079,Errigoiti,12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.04,10.44,12.23,12.23,12.23,0.0,0.0,0.0,0.0,0.0
20034,Eskoriatza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,7.41,7.41,6.65,6.65,6.65,6.65,31.69,31.69
48029,Etxebarri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.77,13.77,13.77,13.77,13.77,13.77,13.77,13.78,13.78
48030,Etxebarria,24.29,24.29,24.29,24.29,27.54,27.54,27.54,27.54,27.54,27.54,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3
20035,Ezkio-Itsaso,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,4.73,24.55,24.55,24.55,24.55,24.55,19.27,25.64,25.64,25.64
48906,Forua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48035,Fruiz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.08,10.08,10.08,10.08,10.08,10.1,6.68,6.68,22.73
20038,Gabiria,18.57,18.57,18.57,18.57,18.57,18.57,18.57,18.57,18.57,19.4,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29
20037,Gaintza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48036,Galdakao,24.17,24.21,24.21,24.21,24.21,24.18,24.18,24.18,24.18,19.59,24.68,24.71,24.71,24.71,24.4,24.4,24.4,24.4,30.16
48037,Galdames,20.92,20.92,20.92,20.92,20.49,20.49,20.49,20.49,20.42,20.49,17.42,17.42,17.42,17.42,17.42,17.42,17.42,19.5,19.58
48038,Gamiz-Fika,11.47,11.47,11.47,11.47,11.47,11.47,11.47,11.6,11.6,12.02,11.36,11.36,11.41,0.0,0.0,0.0,0.0,0.0,0.0
48039,Garai,0.0,0.0,0.0,0.0,0.0,0.0,19.55,19.55,19.55,20.33,20.66,20.66,20.45,20.45,20.45,20.66,20.45,20.66,20.66
48040,Gatika,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.26,8.26,8.26,8.26,8.26,19.53,19.53,19.53,61.48
48041,Gautegiz Arteaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20907,Gaztelu,42.11,42.11,42.11,42.11,42.11,42.11,42.11,42.11,42.11,45.0,32.14,32.14,32.14,32.14,32.14,32.14,32.14,32.14,32.14
48046,Gernika-Lumo,13.79,13.79,13.78,13.78,13.78,13.78,13.79,13.79,13.79,13.71,22.47,22.47,22.47,22.47,22.47,22.47,22.47,21.12,17.19
20039,Getaria,13.11,13.11,13.11,13.11,13.11,15.18,15.18,15.18,15.18,15.03,14.22,14.22,13.73,13.73,18.98,9.49,9.49,9.49,9.49
48044,Getxo,26.66,26.66,26.66,26.64,26.64,26.64,26.64,26.64,26.64,25.96,33.7,33.72,33.72,37.21,37.21,37.21,37.21,37.21,35.95
48047,Gizaburuaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48042,Gordexola,8.5,8.5,8.5,8.5,8.5,8.5,18.55,18.55,4.43,4.2,16.44,18.83,18.83,18.83,18.83,14.09,14.09,18.63,35.29
48043,Gorliz,14.79,14.79,14.79,14.79,14.79,14.79,14.79,14.79,14.79,16.82,31.58,31.37,31.37,31.37,31.37,31.56,29.55,29.55,29.55
48045,Güeñes,21.41,21.41,21.41,21.41,21.41,21.41,21.41,21.41,21.41,21.46,23.8,23.83,23.41,23.41,23.41,23.41,15.01,26.23,26.23
01056,Harana/Valle de Arana,6.09,6.09,6.09,6.09,6.09,6.09,6.07,6.07,6.07,6.12,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89,10.89
20040,Hernani,12.69,12.63,12.63,12.63,12.63,12.63,13.77,13.77,13.8,13.7,18.57,15.88,15.88,15.88,15.88,26.36,26.36,26.36,26.36
20041,Hernialde,11.11,22.22,22.22,22.22,22.22,22.22,22.22,0.0,0.0,0.0,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85,51.85
20036,Hondarribia,4.33,5.04,5.2,5.2,5.2,4.36,5.52,5.51,5.51,5.65,8.37,6.69,6.66,6.66,6.66,6.69,6.69,6.69,6.69
20042,Ibarra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11
48048,Ibarrangelu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20043,Idiazabal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23,5.23,5.23,5.23,5.23,5.23,36.28,0.0,0.0
48094,Igorre,23.65,23.65,23.65,23.65,23.65,23.65,23.65,23.65,22.9,22.33,35.5,35.5,35.5,35.5,35.5,42.18,34.98,34.98,51.08
20044,Ikaztegieta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20045,Irun,6.02,6.02,6.43,6.43,6.43,6.44,8.91,3.01,5.22,5.35,11.11,11.49,11.5,11.4,11.43,11.57,10.05,8.25,21.21
20046,Irura,27.97,27.97,27.97,27.97,27.97,27.97,27.97,27.97,27.97,27.59,27.59,57.24,56.89,56.89,0.0,0.0,0.0,0.0,0.0
01027,Iruraiz-Gauna,12.65,12.65,12.65,12.65,12.65,12.65,17.88,17.88,17.88,17.95,18.98,18.98,19.17,19.17,19.15,19.15,19.15,19.15,19.15
01901,Iruña Oka/Iruña de Oca,15.65,15.65,15.65,15.65,15.65,15.65,18.99,18.99,18.99,29.54,29.98,29.98,29.98,30.58,30.58,30.58,30.58,30.58,30.58
48049,Ispaster,18.18,18.18,18.26,18.26,18.26,18.26,18.26,18.26,18.26,18.63,25.29,25.29,25.0,25.0,25.0,25.29,25.0,24.3,24.3
20047,Itsasondo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
