Indicadores municipales de sostenibilidad: Mujeres electas en elecciones municipales (% sobre total personas electas);;;;;;;;;
"";;;;;;;;;
Resumen de datos;;;;;;;;;
Entidad;;2023;2019;2015;2011;2007;2003;1999;1995
20058;Olaberria;57,14;57,14;42,86;28,57;14,29;14,29;28,57;0,00
48073;Ondarroa;61,54;53,85;46,15;46,15;38,46;38,46;29,41;17,65
20076;Ordizia;58,82;35,29;38,46;38,46;46,15;23,08;23,08;15,38
20905;Orendain;60,00;40,00;40,00;40,00;20,00;20,00;20,00;20,00
20060;Orexa;40,00;40,00;40,00;40,00;0,00;0,00;100,00;0,00
20061;Orio;53,85;46,15;53,85;46,15;36,36;45,45;27,27;27,27
20062;Ormaiztegi;33,33;33,33;33,33;42,86;33,33;44,44;22,22;11,11
48075;Orozko;36,36;45,45;36,36;27,27;36,36;9,09;22,22;22,22
48083;Ortuella;46,15;46,15;15,38;46,15;38,46;30,77;23,08;30,77
48072;Otxandio;44,44;33,33;44,44;33,33;33,33;11,11;22,22;22,22
01043;Oyón-Oion;45,45;18,18;36,36;45,45;18,18;9,09;9,09;9,09
20059;Oñati;58,82;52,94;52,94;47,06;35,29;23,53;17,65;5,88
20064;Pasaia;58,82;47,06;47,06;52,94;35,29;41,18;47,06;41,18
01044;Peñacerrada-Urizaharra;28,57;28,57;28,57;28,57;42,86;28,57;0,00;0,00
48077;Plentzia;54,55;45,45;54,55;54,55;27,27;27,27;18,18;18,18
48078;Portugalete;47,62;47,62;42,86;38,10;33,33;36,00;32,00;28,00
01047;Ribera Baja/Erribera Beitia;55,56;44,44;11,11;22,22;22,22;28,57;28,57;0,00
01051;Salvatierra/Agurain;61,54;53,85;54,55;45,45;36,36;27,27;27,27;9,09
01052;Samaniego;57,14;28,57;14,29;28,57;28,57;28,57;28,57;14,29
01053;San Millán/Donemiliaga;57,14;57,14;28,57;57,14;42,86;42,86;57,14;42,86
48082;Santurtzi;47,62;52,38;47,62;42,86;52,38;33,33;28,57;24,00
20070;Segura;55,56;44,44;44,44;44,44;22,22;22,22;22,22;33,33
48084;Sestao;47,62;47,62;42,86;42,86;42,86;28,57;23,81;19,05
48904;Sondika;54,55;45,45;54,55;54,55;45,45;36,36;54,55;36,36
48085;Sopela;58,82;52,94;35,29;52,94;41,18;17,65;7,69;7,69
48086;Sopuerta;36,36;36,36;27,27;36,36;27,27;18,18;9,09;9,09
20065;Soraluze-Placencia de las Armas;54,55;45,45;36,36;45,45;45,45;45,45;36,36;45,45
48076;Sukarrieta;42,86;28,57;28,57;28,57;28,57;28,57;28,57;14,29
20071;Tolosa;47,06;47,06;47,06;35,29;17,65;17,65;29,41;23,53
48087;Trucios-Turtzioz;57,14;57,14;42,86;28,57;14,29;0,00;14,29;14,29
48088;Ubide;40,00;20,00;20,00;20,00;80,00;0,00;0,00;0,00
48065;Ugao-Miraballes;63,64;54,55;36,36;54,55;45,45;36,36;36,36;18,18
48089;Urduliz;46,15;45,45;27,27;36,36;0,00;18,18;9,09;0,00
48074;Urduña/Orduña;54,55;45,45;45,45;36,36;18,18;18,18;27,27;27,27
01054;Urkabustaiz;55,56;44,44;44,44;33,33;22,22;28,57;14,29;14,29
20072;Urnieta;46,15;46,15;46,15;38,46;61,54;46,15;53,85;45,45
20077;Urretxu;30,77;38,46;38,46;30,77;46,15;23,08;30,77;7,69
20073;Usurbil;46,15;46,15;46,15;38,46;46,15;30,77;30,77;30,77
01055;Valdegovía/Gaubea;44,44;28,57;33,33;55,56;33,33;14,29;14,29;14,29
48080;Valle de Trápaga-Trapagaran;47,06;41,18;35,29;35,29;41,18;29,41;41,18;23,53
20075;Villabona;46,15;53,85;46,15;46,15;53,85;23,08;38,46;0,00
01057;Villabuena de Álava/Eskuernaga;42,86;42,86;42,86;0,00;0,00;0,00;14,29;0,00
01059;Vitoria-Gasteiz;51,85;55,56;40,74;44,44;40,74;37,04;40,74;25,93
01060;Yécora/Iekora;60,00;42,86;42,86;28,57;14,29;0,00;28,57;0,00
48095;Zaldibar;63,64;45,45;36,36;45,45;36,36;36,36;18,18;18,18
20078;Zaldibia;77,78;66,67;66,67;22,22;22,22;0,00;33,33;44,44
01061;Zalduondo;60,00;40,00;40,00;0,00;0,00;0,00;0,00;0,00
48096;Zalla;46,15;53,85;46,15;23,08;30,77;46,15;23,08;7,69
01062;Zambrana;28,57;0,00;28,57;14,29;14,29;14,29;57,14;42,86
48905;Zamudio;45,45;45,45;36,36;36,36;45,45;27,27;18,18;9,09
48097;Zaratamo;44,44;33,33;33,33;55,56;55,56;44,44;33,33;22,22
20079;Zarautz;52,38;47,62;47,62;47,62;42,86;23,81;41,18;29,41
48024;Zeanuri;55,56;55,56;55,56;44,44;33,33;22,22;22,22;22,22
